,Time,Season,Day_of_the_week,DHI,DNI,GHI,Wind_speed,Humidity,Temperature,PV_production,Wind_production,Electric_demand
251,2019-01-01-T20:55,1,1,0,0,0,1.86,50.708,4.04,2,349,26031
252,2019-01-01-T21:00,1,1,0,0,0,1.86,50.708,4.04,2,350,25960
253,2019-01-01-T21:05,1,1,0,0,0,1.86,50.92,3.98,2,344,25880
254,2019-01-01-T21:10,1,1,0,0,0,1.84,50.92,3.98,2,328,25741
255,2019-01-01-T21:15,1,1,0,0,0,1.84,50.97,3.96,2,329,25673
256,2019-01-01-T21:20,1,1,0,0,0,1.84,51.072,3.94,2,324,25554
257,2019-01-01-T21:25,1,1,0,0,0,1.82,51.072,3.94,2,315,25482
258,2019-01-01-T21:30,1,1,0,0,0,1.82,51.224,3.9,2,301,25390
259,2019-01-01-T21:35,1,1,0,0,0,1.8,51.41,3.88,2,304,25320
260,2019-01-01-T21:40,1,1,0,0,0,1.76,51.46,3.86,2,298,25243
261,2019-01-01-T21:45,1,1,0,0,0,1.76,51.474,3.86,2,290,25132
262,2019-01-01-T21:50,1,1,0,0,0,1.76,51.474,3.86,2,298,24997
263,2019-01-01-T21:55,1,1,0,0,0,1.74,51.614,3.82,2,299,24876
264,2019-01-01-T22:00,1,1,0,0,0,1.74,51.614,3.82,2,293,24709
265,2019-01-01-T22:05,1,1,0,0,0,1.74,51.614,3.82,2,284,24528
266,2019-01-01-T22:10,1,1,0,0,0,1.72,51.716,3.78,2,273,24388
267,2019-01-01-T22:15,1,1,0,0,0,1.72,51.81,3.76,2,270,24253
268,2019-01-01-T22:20,1,1,0,0,0,1.72,51.81,3.76,2,269,24115
269,2019-01-01-T22:25,1,1,0,0,0,1.72,51.81,3.76,2,267,23996
270,2019-01-01-T22:30,1,1,0,0,0,1.7,51.86,3.74,2,268,23843
271,2019-01-01-T22:35,1,1,0,0,0,1.7,52.022,3.74,2,251,23704
272,2019-01-01-T22:40,1,1,0,0,0,1.7,52.176,3.7,2,241,23602
273,2019-01-01-T22:45,1,1,0,0,0,1.7,52.176,3.7,2,233,23460
274,2019-01-01-T22:50,1,1,0,0,0,1.66,52.226,3.68,2,232,23326
275,2019-01-01-T22:55,1,1,0,0,0,1.64,52.226,3.68,2,231,23228
276,2019-01-01-T23:00,1,1,0,0,0,1.64,52.226,3.68,2,234,23045
277,2019-01-01-T23:05,1,1,0,0,0,1.66,52.332,3.66,2,244,22911
